Nome;Classe;Sobreviveu;Sexo;Idade;N_Irmaos_Conjuges;N_Fihos_pais;Porto_Embarque
Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick);1;1;female;;0;0;C
Cavendish, Mr. Tyrell William;1;0;male;36;1;0;S
Cavendish, Mrs. Tyrell William (Julia Florence Siegel);1;1;female;76;1;0;S
Chaffee, Mr. Herbert Fuller;1;0;male;46;1;0;S
Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood);1;1;female;47;1;0;S
Chambers, Mr. Norman Campbell;1;1;male;27;1;0;S
Chambers, Mrs. Norman Campbell (Bertha Griggs);1;1;female;33;1;0;S
Chaudanson, Miss. Victorine;1;1;female;36;0;0;C
Cherry, Miss. Gladys;1;1;female;30;0;0;S
Chevre, Mr. Paul Romaine;1;1;male;45;0;0;C
Chibnall, Mrs. (Edith Martha Bowerman);1;1;female;;0;1;S
Chisholm, Mr. Roderick Robert Crispin;1;0;male;;0;0;S
Clark, Mr. Walter Miller;1;0;male;27;1;0;C
Clark, Mrs. Walter Miller (Virginia McDowell);1;1;female;26;1;0;C
Cleaver, Miss. Alice;1;1;female;22;0;0;S
Clifford, Mr. George Quincy;1;0;male;;0;0;S
Colley, Mr. Edward Pomeroy;1;0;male;47;0;0;S
Compton, Miss. Sara Rebecca;1;1;female;39;1;1;C
Compton, Mr. Alexander Taylor Jr;1;0;male;37;1;1;C
Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll);1;1;female;64;0;2;C
Cornell, Mrs. Robert Clifford (Malvina Helen Lamson);1;1;female;55;2;0;S
Crafton, Mr. John Bertram;1;0;male;;0;0;S
Crosby, Capt. Edward Gifford;1;0;male;70;1;1;S
Crosby, Miss. Harriet R;1;1;female;36;0;2;S
Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead);1;1;female;64;1;1;S
Cumings, Mr. John Bradley;1;0;male;39;1;0;C
Cumings, Mrs. John Bradley (Florence Briggs Thayer);1;1;female;38;1;0;C
Daly, Mr. Peter Denis ;1;1;male;51;0;0;S
Daniel, Mr. Robert Williams;1;1;male;27;0;0;S
Daniels, Miss. Sarah;1;1;female;33;0;0;S
Davidson, Mr. Thornton;1;0;male;31;1;0;S
Davidson, Mrs. Thornton (Orian Hays);1;1;female;27;1;2;S
Dick, Mr. Albert Adrian;1;1;male;31;1;0;S
Dick, Mrs. Albert Adrian (Vera Gillespie);1;1;female;17;1;0;S
Dodge, Dr. Washington;1;1;male;53;1;1;S
Dodge, Master. Washington;1;1;male;4;0;2;S
Dodge, Mrs. Washington (Ruth Vidaver);1;1;female;54;1;1;S
Douglas, Mr. Walter Donald;1;0;male;50;1;0;C
Douglas, Mrs. Frederick Charles (Mary Helene Baxter);1;1;female;27;1;1;C
Douglas, Mrs. Walter Donald (Mahala Dutton);1;1;female;48;1;0;C
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")";1;1;female;48;1;0;C
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")";1;1;male;49;1;0;C
Dulles, Mr. William Crothers;1;0;male;39;0;0;C
Earnshaw, Mrs. Boulton (Olive Potter);1;1;female;23;0;1;C
Endres, Miss. Caroline Louise;1;1;female;38;0;0;C
Eustis, Miss. Elizabeth Mussey;1;1;female;54;1;0;C
Evans, Miss. Edith Corse;1;0;female;36;0;0;C
Farthing, Mr. John;1;0;male;;0;0;S
Flegenheim, Mrs. Alfred (Antoinette);1;1;female;;0;0;S
Fleming, Miss. Margaret;1;1;female;;0;0;C
"Flynn, Mr. John Irwin (""Irving"")";1;1;male;36;0;0;S
Foreman, Mr. Benjamin Laventall;1;0;male;30;0;0;C
Fortune, Miss. Alice Elizabeth;1;1;female;24;3;2;S
Fortune, Miss. Ethel Flora;1;1;female;28;3;2;S
Fortune, Miss. Mabel Helen;1;1;female;23;3;2;S
Fortune, Mr. Charles Alexander;1;0;male;19;3;2;S
Fortune, Mr. Mark;1;0;male;64;1;4;S
Fortune, Mrs. Mark (Mary McDougald);1;1;female;60;1;4;S
Francatelli, Miss. Laura Mabel;1;1;female;30;0;0;C
Franklin, Mr. Thomas Parham;1;0;male;;0;0;S
Frauenthal, Dr. Henry William;1;1;male;50;2;0;S
Frauenthal, Mr. Isaac Gerald;1;1;male;43;1;0;C
Frauenthal, Mrs. Henry William (Clara Heinsheimer);1;1;female;;1;0;S
Frolicher, Miss. Hedwig Margaritha;1;1;female;22;0;2;C
Frolicher-Stehli, Mr. Maxmillian;1;1;male;60;1;1;C
Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli);1;1;female;48;1;1;C
Fry, Mr. Richard;1;0;male;;0;0;S
Futrelle, Mr. Jacques Heath;1;0;male;37;1;0;S
Futrelle, Mrs. Jacques Heath (Lily May Peel);1;1;female;35;1;0;S
Gee, Mr. Arthur H;1;0;male;47;0;0;S
Geiger, Miss. Amalie;1;1;female;35;0;0;C
Gibson, Miss. Dorothy Winifred;1;1;female;22;0;1;C
Gibson, Mrs. Leonard (Pauline C Boeson);1;1;female;45;0;1;C
Giglio, Mr. Victor;1;0;male;24;0;0;C
Goldenberg, Mr. Samuel L;1;1;male;49;1;0;C
Goldenberg, Mrs. Samuel L (Edwiga Grabowska);1;1;female;;1;0;C
Goldschmidt, Mr. George B;1;0;male;71;0;0;C
Gracie, Col. Archibald IV;1;1;male;53;0;0;C
Graham, Miss. Margaret Edith;1;1;female;19;0;0;S
Graham, Mr. George Edward;1;0;male;38;0;1;S
Graham, Mrs. William Thompson (Edith Junkins);1;1;female;58;0;1;S
Greenfield, Mr. William Bertram;1;1;male;23;0;1;C
Greenfield, Mrs. Leo David (Blanche Strouse);1;1;female;45;0;1;C
Guggenheim, Mr. Benjamin;1;0;male;46;0;0;C
Harder, Mr. George Achilles;1;1;male;25;1;0;C
Harder, Mrs. George Achilles (Dorothy Annan);1;1;female;25;1;0;C
Harper, Mr. Henry Sleeper;1;1;male;48;1;0;C
Harper, Mrs. Henry Sleeper (Myna Haxtun);1;1;female;49;1;0;C
Harrington, Mr. Charles H;1;0;male;;0;0;S
Harris, Mr. Henry Birkhardt;1;0;male;45;1;0;S
Harris, Mrs. Henry Birkhardt (Irene Wallach);1;1;female;35;1;0;S
Harrison, Mr. William;1;0;male;40;0;0;S
Hassab, Mr. Hammad;1;1;male;27;0;0;C
Hawksford, Mr. Walter James;1;1;male;;0;0;S
Hays, Miss. Margaret Bechstein;1;1;female;24;0;0;C
Hays, Mr. Charles Melville;1;0;male;55;1;1;S
Hays, Mrs. Charles Melville (Clara Jennings Gregg);1;1;female;52;1;1;S
Head, Mr. Christopher;1;0;male;42;0;0;S
Hilliard, Mr. Herbert Henry;1;0;male;;0;0;S
Hipkins, Mr. William Edward;1;0;male;55;0;0;S
Hippach, Miss. Jean Gertrude;1;1;female;16;0;1;C
Hippach, Mrs. Louis Albert (Ida Sophia Fischer);1;1;female;44;0;1;C
Hogeboom, Mrs. John C (Anna Andrews);1;1;female;51;1;0;S
Holverson, Mr. Alexander Oskar;1;0;male;42;1;0;S
Holverson, Mrs. Alexander Oskar (Mary Aline Towner);1;1;female;35;1;0;S
"Homer, Mr. Harry (""Mr E Haven"")";1;1;male;35;0;0;C
Hoyt, Mr. Frederick Maxfield;1;1;male;38;1;0;S
Hoyt, Mr. William Fisher;1;0;male;;0;0;C
Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby);1;1;female;35;1;0;S
Icard, Miss. Amelie;1;1;female;38;0;0;
Isham, Miss. Ann Elizabeth;1;0;female;50;0;0;C
Ismay, Mr. Joseph Bruce;1;1;male;49;0;0;S
Jones, Mr. Charles Cresson;1;0;male;46;0;0;S
Julian, Mr. Henry Forbes;1;0;male;50;0;0;S
Keeping, Mr. Edwin;1;0;male;32,5;0;0;C
Kent, Mr. Edward Austin;1;0;male;58;0;0;C
Kenyon, Mr. Frederick R;1;0;male;41;1;0;S
Kenyon, Mrs. Frederick R (Marion);1;1;female;;1;0;S
Kimball, Mr. Edwin Nelson Jr;1;1;male;42;1;0;S
Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons);1;1;female;45;1;0;S
Klaber, Mr. Herman;1;0;male;;0;0;S
Kreuchen, Miss. Emilie;1;1;female;39;0;0;S
Leader, Dr. Alice (Farnham);1;1;female;49;0;0;S
LeRoy, Miss. Bertha;1;1;female;30;0;0;C
Lesurer, Mr. Gustave J;1;1;male;35;0;0;C
Lewy, Mr. Ervin G;1;0;male;;0;0;C
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")";1;0;male;42;0;0;S
Lindstrom, Mrs. Carl Johan (Sigrid Posse);1;1;female;55;0;0;C
Lines, Miss. Mary Conover;1;1;female;16;0;1;S
Lines, Mrs. Ernest H (Elizabeth Lindsey James);1;1;female;51;0;1;S
Long, Mr. Milton Clyde;1;0;male;29;0;0;S
Longley, Miss. Gretchen Fiske;1;1;female;21;0;0;S
Loring, Mr. Joseph Holland;1;0;male;30;0;0;S
Lurette, Miss. Elise;1;1;female;58;0;0;C
Madill, Miss. Georgette Alexandra;1;1;female;15;0;1;S
Maguire, Mr. John Edward;1;0;male;30;0;0;S
Maioni, Miss. Roberta;1;1;female;16;0;0;S
Marechal, Mr. Pierre;1;1;male;;0;0;C
Marvin, Mr. Daniel Warner;1;0;male;19;1;0;S
Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson);1;1;female;18;1;0;S
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")";1;1;female;24;0;0;C
McCaffry, Mr. Thomas Francis;1;0;male;46;0;0;C
McCarthy, Mr. Timothy J;1;0;male;54;0;0;S
McGough, Mr. James Robert;1;1;male;36;0;0;S
Meyer, Mr. Edgar Joseph;1;0;male;28;1;0;C
Meyer, Mrs. Edgar Joseph (Leila Saks);1;1;female;;1;0;C
Millet, Mr. Francis Davis;1;0;male;65;0;0;S
Minahan, Dr. William Edward;1;0;male;44;2;0;Q
Minahan, Miss. Daisy E;1;1;female;33;1;0;Q
Minahan, Mrs. William Edward (Lillian E Thorpe);1;1;female;37;1;0;Q
Mock, Mr. Philipp Edmund;1;1;male;30;1;0;C
Molson, Mr. Harry Markland;1;0;male;55;0;0;S
Moore, Mr. Clarence Bloomfield;1;0;male;47;0;0;S
Natsch, Mr. Charles H;1;0;male;37;0;1;C
Newell, Miss. Madeleine;1;1;female;31;1;0;C
Newell, Miss. Marjorie;1;1;female;23;1;0;C
Newell, Mr. Arthur Webster;1;0;male;58;0;2;C
Newsom, Miss. Helen Monypeny;1;1;female;19;0;2;S
Nicholson, Mr. Arthur Ernest;1;0;male;64;0;0;S
Oliva y Ocana, Dona. Fermina;1;1;female;39;0;0;C
Omont, Mr. Alfred Fernand;1;1;male;;0;0;C
Ostby, Miss. Helene Ragnhild;1;1;female;22;0;1;C
Ostby, Mr. Engelhart Cornelius;1;0;male;65;0;1;C
Ovies y Rodriguez, Mr. Servando;1;0;male;28,5;0;0;C
Parr, Mr. William Henry Marsh;1;0;male;;0;0;S
Partner, Mr. Austen;1;0;male;45,5;0;0;S
Payne, Mr. Vivian Ponsonby;1;0;male;23;0;0;S
Pears, Mr. Thomas Clinton;1;0;male;29;1;0;S
Pears, Mrs. Thomas (Edith Wearne);1;1;female;22;1;0;S
Penasco y Castellana, Mr. Victor de Satode;1;0;male;18;1;0;C
Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo);1;1;female;17;1;0;C
Perreault, Miss. Anne;1;1;female;30;0;0;S
Peuchen, Major. Arthur Godfrey;1;1;male;52;0;0;S
Porter, Mr. Walter Chamberlain;1;0;male;47;0;0;S
Potter, Mrs. Thomas Jr (Lily Alexenia Wilson);1;1;female;56;0;1;C
Reuchlin, Jonkheer. John George;1;0;male;38;0;0;S
Rheims, Mr. George Alexander Lucien;1;1;male;;0;0;S
Ringhini, Mr. Sante;1;0;male;22;0;0;C
Robbins, Mr. Victor;1;0;male;;0;0;C
Robert, Mrs. Edward Scott (Elisabeth Walton McMillan);1;1;female;43;0;1;S
Roebling, Mr. Washington Augustus II;1;0;male;31;0;0;S
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")";1;1;male;45;0;0;S
Rood, Mr. Hugh Roscoe;1;0;male;;0;0;S
Rosenbaum, Miss. Edith Louise;1;1;female;33;0;0;C
"Rosenshine, Mr. George (""Mr George Thorne"")";1;0;male;46;0;0;C
Ross, Mr. John Hugo;1;0;male;36;0;0;C
Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards);1;1;female;33;0;0;S
Rothschild, Mr. Martin;1;0;male;55;1;0;C
Rothschild, Mrs. Martin (Elizabeth L. Barrett);1;1;female;54;1;0;C
Rowe, Mr. Alfred G;1;0;male;33;0;0;S
Ryerson, Master. John Borie;1;1;male;13;2;2;C
Ryerson, Miss. Emily Borie;1;1;female;18;2;2;C
"Ryerson, Miss. Susan Parker ""Suzette""";1;1;female;21;2;2;C
Ryerson, Mr. Arthur Larned;1;0;male;61;1;3;C
Ryerson, Mrs. Arthur Larned (Emily Maria Borie);1;1;female;48;1;3;C
Saalfeld, Mr. Adolphe;1;1;male;;0;0;S
Sagesser, Mlle. Emma;1;1;female;24;0;0;C
Salomon, Mr. Abraham L;1;1;male;;0;0;S
Schabert, Mrs. Paul (Emma Mock);1;1;female;35;1;0;C
Serepeca, Miss. Augusta;1;1;female;30;0;0;C
Seward, Mr. Frederic Kimber;1;1;male;34;0;0;S
Shutes, Miss. Elizabeth W;1;1;female;40;0;0;S
Silverthorne, Mr. Spencer Victor;1;1;male;35;0;0;S
Silvey, Mr. William Baird;1;0;male;50;1;0;S
Silvey, Mrs. William Baird (Alice Munger);1;1;female;39;1;0;S
Simonius-Blumer, Col. Oberst Alfons;1;1;male;56;0;0;C
Sloper, Mr. William Thompson;1;1;male;28;0;0;S
Smart, Mr. John Montgomery;1;0;male;56;0;0;S
Smith, Mr. James Clinch;1;0;male;56;0;0;C
Smith, Mr. Lucien Philip;1;0;male;24;1;0;S
Smith, Mr. Richard William;1;0;male;;0;0;S
Smith, Mrs. Lucien Philip (Mary Eloise Hughes);1;1;female;18;1;0;S
Snyder, Mr. John Pillsbury;1;1;male;24;1;0;S
Snyder, Mrs. John Pillsbury (Nelle Stevenson);1;1;female;23;1;0;S
Spedden, Master. Robert Douglas;1;1;male;6;0;2;C
Spedden, Mr. Frederic Oakley;1;1;male;45;1;1;C
Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone);1;1;female;40;1;1;C
Spencer, Mr. William Augustus;1;0;male;57;1;0;C
Spencer, Mrs. William Augustus (Marie Eugenie);1;1;female;;1;0;C
Stahelin-Maeglin, Dr. Max;1;1;male;32;0;0;C
Stead, Mr. William Thomas;1;0;male;62;0;0;S
Stengel, Mr. Charles Emil Henry;1;1;male;54;1;0;C
Stengel, Mrs. Charles Emil Henry (Annie May Morris);1;1;female;43;1;0;C
Stephenson, Mrs. Walter Bertram (Martha Eustis);1;1;female;52;1;0;C
Stewart, Mr. Albert A;1;0;male;;0;0;C
Stone, Mrs. George Nelson (Martha Evelyn);1;1;female;62;0;0;
Straus, Mr. Isidor;1;0;male;67;1;0;S
Straus, Mrs. Isidor (Rosalie Ida Blun);1;0;female;63;1;0;S
Sutton, Mr. Frederick;1;0;male;61;0;0;S
Swift, Mrs. Frederick Joel (Margaret Welles Barron);1;1;female;48;0;0;S
Taussig, Miss. Ruth;1;1;female;18;0;2;S
Taussig, Mr. Emil;1;0;male;52;1;1;S
Taussig, Mrs. Emil (Tillie Mandelbaum);1;1;female;39;1;1;S
Taylor, Mr. Elmer Zebley;1;1;male;48;1;0;S
Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright);1;1;female;;1;0;S
Thayer, Mr. John Borland;1;0;male;49;1;1;C
Thayer, Mr. John Borland Jr;1;1;male;17;0;2;C
Thayer, Mrs. John Borland (Marian Longstreth Morris);1;1;female;39;1;1;C
Thorne, Mrs. Gertrude Maybelle;1;1;female;;0;0;C
Tucker, Mr. Gilbert Milligan Jr;1;1;male;31;0;0;C
Uruchurtu, Don. Manuel E;1;0;male;40;0;0;C
Van der hoef, Mr. Wyckoff;1;0;male;61;0;0;S
Walker, Mr. William Anderson;1;0;male;47;0;0;S
Ward, Miss. Anna;1;1;female;35;0;0;C
Warren, Mr. Frank Manley;1;0;male;64;1;0;C
Warren, Mrs. Frank Manley (Anna Sophia Atkinson);1;1;female;60;1;0;C
Weir, Col. John;1;0;male;60;0;0;S
White, Mr. Percival Wayland;1;0;male;54;0;1;S
White, Mr. Richard Frasar;1;0;male;21;0;1;S
White, Mrs. John Stuart (Ella Holmes);1;1;female;55;0;0;C
Wick, Miss. Mary Natalie;1;1;female;31;0;2;S
Wick, Mr. George Dennick;1;0;male;57;1;1;S
Wick, Mrs. George Dennick (Mary Hitchcock);1;1;female;45;1;1;S
Widener, Mr. George Dunton;1;0;male;50;1;1;C
Widener, Mr. Harry Elkins;1;0;male;27;0;2;C
Widener, Mrs. George Dunton (Eleanor Elkins);1;1;female;50;1;1;C
Willard, Miss. Constance;1;1;female;21;0;0;S
Williams, Mr. Charles Duane;1;0;male;51;0;1;C
Williams, Mr. Richard Norris II;1;1;male;21;0;1;C
Williams-Lambert, Mr. Fletcher Fellows;1;0;male;;0;0;S
Wilson, Miss. Helen Alice;1;1;female;31;0;0;C
Woolner, Mr. Hugh;1;1;male;;0;0;S
Wright, Mr. George;1;0;male;62;0;0;S
Young, Miss. Marie Grice;1;1;female;36;0;0;C
Abelson, Mr. Samuel;2;0;male;30;1;0;C
Abelson, Mrs. Samuel (Hannah Wizosky);2;1;female;28;1;0;C
Aldworth, Mr. Charles Augustus;2;0;male;30;0;0;S
Andrew, Mr. Edgardo Samuel;2;0;male;18;0;0;S
Andrew, Mr. Frank Thomas;2;0;male;25;0;0;S
Angle, Mr. William A;2;0;male;34;1;0;S
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)";2;1;female;36;1;0;S
Ashby, Mr. John;2;0;male;57;0;0;S
Bailey, Mr. Percy Andrew;2;0;male;18;0;0;S
Baimbrigge, Mr. Charles Robert;2;0;male;23;0;0;S
Ball, Mrs. (Ada E Hall);2;1;female;36;0;0;S
Banfield, Mr. Frederick James;2;0;male;28;0;0;S
Bateman, Rev. Robert James;2;0;male;51;0;0;S
Beane, Mr. Edward;2;1;male;32;1;0;S
Beane, Mrs. Edward (Ethel Clarke);2;1;female;19;1;0;S
Beauchamp, Mr. Henry James;2;0;male;28;0;0;S
Becker, Master. Richard F;2;1;male;1;2;1;S
Becker, Miss. Marion Louise;2;1;female;4;2;1;S
Becker, Miss. Ruth Elizabeth;2;1;female;12;2;1;S
Becker, Mrs. Allen Oliver (Nellie E Baumgardner);2;1;female;36;0;3;S
Beesley, Mr. Lawrence;2;1;male;34;0;0;S
Bentham, Miss. Lilian W;2;1;female;19;0;0;S
Berriman, Mr. William John;2;0;male;23;0;0;S
Botsford, Mr. William Hull;2;0;male;26;0;0;S
Bowenur, Mr. Solomon;2;0;male;42;0;0;S
Bracken, Mr. James H;2;0;male;27;0;0;S
"Brown, Miss. Amelia ""Mildred""";2;1;female;24;0;0;S
Brown, Miss. Edith Eileen;2;1;female;15;0;2;S
Brown, Mr. Thomas William Solomon;2;0;male;60;1;1;S
Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford);2;1;female;40;1;1;S
Bryhl, Miss. Dagmar Jenny Ingeborg ;2;1;female;20;1;0;S
Bryhl, Mr. Kurt Arnold Gottfrid;2;0;male;25;1;0;S
Buss, Miss. Kate;2;1;female;36;0;0;S
Butler, Mr. Reginald Fenton;2;0;male;25;0;0;S
Byles, Rev. Thomas Roussel Davids;2;0;male;42;0;0;S
Bystrom, Mrs. (Karolina);2;1;female;42;0;0;S
Caldwell, Master. Alden Gates;2;1;male;0,8333;0;2;S
Caldwell, Mr. Albert Francis;2;1;male;26;1;1;S
Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh);2;1;female;22;1;1;S
Cameron, Miss. Clear Annie;2;1;female;35;0;0;S
Campbell, Mr. William;2;0;male;;0;0;S
Carbines, Mr. William;2;0;male;19;0;0;S
Carter, Mrs. Ernest Courtenay (Lilian Hughes);2;0;female;44;1;0;S
Carter, Rev. Ernest Courtenay;2;0;male;54;1;0;S
Chapman, Mr. Charles Henry;2;0;male;52;0;0;S
Chapman, Mr. John Henry;2;0;male;37;1;0;S
Chapman, Mrs. John Henry (Sara Elizabeth Lawry);2;0;female;29;1;0;S
Christy, Miss. Julie Rachel;2;1;female;25;1;1;S
Christy, Mrs. (Alice Frances);2;1;female;45;0;2;S
Clarke, Mr. Charles Valentine;2;0;male;29;1;0;S
Clarke, Mrs. Charles V (Ada Maria Winfield);2;1;female;28;1;0;S
Coleridge, Mr. Reginald Charles;2;0;male;29;0;0;S
Collander, Mr. Erik Gustaf;2;0;male;28;0;0;S
Collett, Mr. Sidney C Stuart;2;1;male;24;0;0;S
"Collyer, Miss. Marjorie ""Lottie""";2;1;female;8;0;2;S
Collyer, Mr. Harvey;2;0;male;31;1;1;S
Collyer, Mrs. Harvey (Charlotte Annie Tate);2;1;female;31;1;1;S
Cook, Mrs. (Selena Rogers);2;1;female;22;0;0;S
Corbett, Mrs. Walter H (Irene Colvin);2;0;female;30;0;0;S
Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller);2;0;female;;0;0;S
"Cotterill, Mr. Henry ""Harry""";2;0;male;21;0;0;S
Cunningham, Mr. Alfred Fleming;2;0;male;;0;0;S
Davies, Master. John Morgan Jr;2;1;male;8;1;1;S
Davies, Mr. Charles Henry;2;0;male;18;0;0;S
Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ;2;1;female;48;0;2;S
Davis, Miss. Mary;2;1;female;28;0;0;S
de Brito, Mr. Jose Joaquim;2;0;male;32;0;0;S
Deacon, Mr. Percy William;2;0;male;17;0;0;S
del Carlo, Mr. Sebastiano;2;0;male;29;1;0;C
del Carlo, Mrs. Sebastiano (Argenia Genovesi);2;1;female;24;1;0;C
Denbury, Mr. Herbert;2;0;male;25;0;0;S
Dibden, Mr. William;2;0;male;18;0;0;S
Doling, Miss. Elsie;2;1;female;18;0;1;S
Doling, Mrs. John T (Ada Julia Bone);2;1;female;34;0;1;S
Downton, Mr. William James;2;0;male;54;0;0;S
Drew, Master. Marshall Brines;2;1;male;8;0;2;S
Drew, Mr. James Vivian;2;0;male;42;1;1;S
Drew, Mrs. James Vivian (Lulu Thorne Christian);2;1;female;34;1;1;S
Duran y More, Miss. Asuncion;2;1;female;27;1;0;C
Duran y More, Miss. Florentina;2;1;female;30;1;0;C
Eitemiller, Mr. George Floyd;2;0;male;23;0;0;S
Enander, Mr. Ingvar;2;0;male;21;0;0;S
Fahlstrom, Mr. Arne Jonas;2;0;male;18;0;0;S
Faunthorpe, Mr. Harry;2;0;male;40;1;0;S
Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson);2;1;female;29;1;0;S
Fillbrook, Mr. Joseph Charles;2;0;male;18;0;0;S
Fox, Mr. Stanley Hubert;2;0;male;36;0;0;S
"Frost, Mr. Anthony Wood ""Archie""";2;0;male;;0;0;S
Funk, Miss. Annie Clemmer;2;0;female;38;0;0;S
Fynney, Mr. Joseph J;2;0;male;35;0;0;S
Gale, Mr. Harry;2;0;male;38;1;0;S
Gale, Mr. Shadrach;2;0;male;34;1;0;S
Garside, Miss. Ethel;2;1;female;34;0;0;S
Gaskell, Mr. Alfred;2;0;male;16;0;0;S
Gavey, Mr. Lawrence;2;0;male;26;0;0;S
Gilbert, Mr. William;2;0;male;47;0;0;S
Giles, Mr. Edgar;2;0;male;21;1;0;S
Giles, Mr. Frederick Edward;2;0;male;21;1;0;S
Giles, Mr. Ralph;2;0;male;24;0;0;S
